product_key,product_id,product_number,category_id,product_name,category,subcategory,maintenance,cost,product_line,start_day
1,210,FR-R92B-58,CO_RF,HL Road Frame - Black- 58,Components,Road Frames,Yes,0,Road,2003-07-01
2,211,FR-R92R-58,CO_RF,HL Road Frame - Red- 58,Components,Road Frames,Yes,0,Road,2003-07-01
3,348,BK-M82B-38,BI_MB,Mountain-100 Black- 38,Bikes,Mountain Bikes,Yes,1898,Mountain,2011-07-01
4,349,BK-M82B-42,BI_MB,Mountain-100 Black- 42,Bikes,Mountain Bikes,Yes,1898,Mountain,2011-07-01
5,350,BK-M82B-44,BI_MB,Mountain-100 Black- 44,Bikes,Mountain Bikes,Yes,1898,Mountain,2011-07-01
6,351,BK-M82B-48,BI_MB,Mountain-100 Black- 48,Bikes,Mountain Bikes,Yes,1898,Mountain,2011-07-01
7,344,BK-M82S-38,BI_MB,Mountain-100 Silver- 38,Bikes,Mountain Bikes,Yes,1912,Mountain,2011-07-01
8,345,BK-M82S-42,BI_MB,Mountain-100 Silver- 42,Bikes,Mountain Bikes,Yes,1912,Mountain,2011-07-01
9,346,BK-M82S-44,BI_MB,Mountain-100 Silver- 44,Bikes,Mountain Bikes,Yes,1912,Mountain,2011-07-01
10,347,BK-M82S-48,BI_MB,Mountain-100 Silver- 48,Bikes,Mountain Bikes,Yes,1912,Mountain,2011-07-01
11,317,BK-R68R-44,BI_RB,Road-450 Red- 44,Bikes,Road Bikes,Yes,885,Road,2011-07-01
12,318,BK-R68R-48,BI_RB,Road-450 Red- 48,Bikes,Road Bikes,Yes,885,Road,2011-07-01
13,319,BK-R68R-52,BI_RB,Road-450 Red- 52,Bikes,Road Bikes,Yes,885,Road,2011-07-01
14,315,BK-R68R-58,BI_RB,Road-450 Red- 58,Bikes,Road Bikes,Yes,885,Road,2011-07-01
15,316,BK-R68R-60,BI_RB,Road-450 Red- 60,Bikes,Road Bikes,Yes,885,Road,2011-07-01
16,311,BK-R93R-44,BI_RB,Road-150 Red- 44,Bikes,Road Bikes,Yes,2171,Road,2011-07-01
17,312,BK-R93R-48,BI_RB,Road-150 Red- 48,Bikes,Road Bikes,Yes,2171,Road,2011-07-01
18,313,BK-R93R-52,BI_RB,Road-150 Red- 52,Bikes,Road Bikes,Yes,2171,Road,2011-07-01
19,314,BK-R93R-56,BI_RB,Road-150 Red- 56,Bikes,Road Bikes,Yes,2171,Road,2011-07-01
20,310,BK-R93R-62,BI_RB,Road-150 Red- 62,Bikes,Road Bikes,Yes,2171,Road,2011-07-01
21,299,FR-M94B-44,CO_MF,HL Mountain Frame - Black- 44,Components,Mountain Frames,Yes,699,Mountain,2011-07-01
