prd_id,cat_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt,dwh_create_date
478,AC_BC,BC-M005,Mountain Bottle Cage,4,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
479,AC_BC,BC-R205,Road Bottle Cage,3,Road,2013-07-01,,2025-11-17 10:54:42.81274
477,AC_BC,WB-H098,Water Bottle - 30 oz.,2,Other Sales,2013-07-01,,2025-11-17 10:54:42.81274
483,AC_BR,RA-H123,Hitch Rack - 4-Bike,45,Other Sales,2013-07-01,,2025-11-17 10:54:42.81274
486,AC_BS,ST-1401,All-Purpose Bike Stand,59,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
484,AC_CL,CL-9009,Bike Wash - Dissolver,3,Other Sales,2013-07-01,,2025-11-17 10:54:42.81274
485,AC_FE,FE-6654,Fender Set - Mountain,8,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
215,AC_HE,HL-U509,Sport-100 Helmet- Black,12,Other Sales,2011-07-01,2012-06-30,2025-11-17 10:54:42.81274
216,AC_HE,HL-U509,Sport-100 Helmet- Black,14,Other Sales,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
217,AC_HE,HL-U509,Sport-100 Helmet- Black,13,Other Sales,2013-07-01,,2025-11-17 10:54:42.81274
220,AC_HE,HL-U509-B,Sport-100 Helmet- Blue,12,Other Sales,2011-07-01,2012-06-30,2025-11-17 10:54:42.81274
221,AC_HE,HL-U509-B,Sport-100 Helmet- Blue,14,Other Sales,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
222,AC_HE,HL-U509-B,Sport-100 Helmet- Blue,13,Other Sales,2013-07-01,,2025-11-17 10:54:42.81274
212,AC_HE,HL-U509-R,Sport-100 Helmet- Red,12,Other Sales,2011-07-01,2012-06-30,2025-11-17 10:54:42.81274
213,AC_HE,HL-U509-R,Sport-100 Helmet- Red,14,Other Sales,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
214,AC_HE,HL-U509-R,Sport-100 Helmet- Red,13,Other Sales,2013-07-01,,2025-11-17 10:54:42.81274
487,AC_HP,HY-1023-70,Hydration Pack - 70 oz.,21,Other Sales,2013-07-01,,2025-11-17 10:54:42.81274
451,AC_LI,LT-H902,Headlights - Dual-Beam,14,Road,2012-07-01,,2025-11-17 10:54:42.81274
452,AC_LI,LT-H903,Headlights - Weatherproof,19,Road,2012-07-01,,2025-11-17 10:54:42.81274
450,AC_LI,LT-T990,Taillights - Battery-Powered,6,Road,2012-07-01,,2025-11-17 10:54:42.81274
447,AC_LO,LO-C100,Cable Lock,10,Other Sales,2012-07-01,,2025-11-17 10:54:42.81274
446,AC_PA,PA-T100,Touring-Panniers- Large,52,Touring,2012-07-01,,2025-11-17 10:54:42.81274
448,AC_PU,PU-0452,Minipump,8,Other Sales,2012-07-01,,2025-11-17 10:54:42.81274
449,AC_PU,PU-M044,Mountain Pump,10,Mountain,2012-07-01,,2025-11-17 10:54:42.81274
480,AC_TT,PK-7098,Patch Kit/8 Patches,1,Other Sales,2013-07-01,,2025-11-17 10:54:42.81274
535,AC_TT,TI-M267,LL Mountain Tire,9,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
536,AC_TT,TI-M602,ML Mountain Tire,11,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
537,AC_TT,TI-M823,HL Mountain Tire,13,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
538,AC_TT,TI-R092,LL Road Tire,8,Road,2013-07-01,,2025-11-17 10:54:42.81274
539,AC_TT,TI-R628,ML Road Tire,9,Road,2013-07-01,,2025-11-17 10:54:42.81274
540,AC_TT,TI-R982,HL Road Tire,12,Road,2013-07-01,,2025-11-17 10:54:42.81274
541,AC_TT,TI-T723,Touring Tire,11,Touring,2013-07-01,,2025-11-17 10:54:42.81274
528,AC_TT,TT-M928,Mountain Tire Tube,2,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
529,AC_TT,TT-R982,Road Tire Tube,1,Road,2013-07-01,,2025-11-17 10:54:42.81274
530,AC_TT,TT-T092,Touring Tire Tube,2,Touring,2013-07-01,,2025-11-17 10:54:42.81274
596,BI_MB,BK-M18B-40,Mountain-500 Black- 40,295,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
597,BI_MB,BK-M18B-42,Mountain-500 Black- 42,295,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
598,BI_MB,BK-M18B-44,Mountain-500 Black- 44,295,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
599,BI_MB,BK-M18B-48,Mountain-500 Black- 48,295,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
600,BI_MB,BK-M18B-52,Mountain-500 Black- 52,295,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
591,BI_MB,BK-M18S-40,Mountain-500 Silver- 40,308,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
592,BI_MB,BK-M18S-42,Mountain-500 Silver- 42,308,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
593,BI_MB,BK-M18S-44,Mountain-500 Silver- 44,308,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
594,BI_MB,BK-M18S-48,Mountain-500 Silver- 48,308,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
595,BI_MB,BK-M18S-52,Mountain-500 Silver- 52,308,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
587,BI_MB,BK-M38S-38,Mountain-400-W Silver- 38,420,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
588,BI_MB,BK-M38S-40,Mountain-400-W Silver- 40,420,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
589,BI_MB,BK-M38S-42,Mountain-400-W Silver- 42,420,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
590,BI_MB,BK-M38S-46,Mountain-400-W Silver- 46,420,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
364,BI_MB,BK-M47B-38,Mountain-300 Black- 38,598,Mountain,2012-07-01,,2025-11-17 10:54:42.81274
365,BI_MB,BK-M47B-40,Mountain-300 Black- 40,598,Mountain,2012-07-01,,2025-11-17 10:54:42.81274
366,BI_MB,BK-M47B-44,Mountain-300 Black- 44,598,Mountain,2012-07-01,,2025-11-17 10:54:42.81274
367,BI_MB,BK-M47B-48,Mountain-300 Black- 48,598,Mountain,2012-07-01,,2025-11-17 10:54:42.81274
358,BI_MB,BK-M68B-38,Mountain-200 Black- 38,1106,Mountain,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
359,BI_MB,BK-M68B-38,Mountain-200 Black- 38,1252,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
360,BI_MB,BK-M68B-42,Mountain-200 Black- 42,1106,Mountain,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
361,BI_MB,BK-M68B-42,Mountain-200 Black- 42,1252,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
362,BI_MB,BK-M68B-46,Mountain-200 Black- 46,1106,Mountain,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
363,BI_MB,BK-M68B-46,Mountain-200 Black- 46,1252,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
352,BI_MB,BK-M68S-38,Mountain-200 Silver- 38,1118,Mountain,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
353,BI_MB,BK-M68S-38,Mountain-200 Silver- 38,1266,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
354,BI_MB,BK-M68S-42,Mountain-200 Silver- 42,1118,Mountain,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
355,BI_MB,BK-M68S-42,Mountain-200 Silver- 42,1266,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
356,BI_MB,BK-M68S-46,Mountain-200 Silver- 46,1118,Mountain,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
357,BI_MB,BK-M68S-46,Mountain-200 Silver- 46,1266,Mountain,2013-07-01,,2025-11-17 10:54:42.81274
348,BI_MB,BK-M82B-38,Mountain-100 Black- 38,1898,Mountain,2011-07-01,,2025-11-17 10:54:42.81274
349,BI_MB,BK-M82B-42,Mountain-100 Black- 42,1898,Mountain,2011-07-01,,2025-11-17 10:54:42.81274
350,BI_MB,BK-M82B-44,Mountain-100 Black- 44,1898,Mountain,2011-07-01,,2025-11-17 10:54:42.81274
351,BI_MB,BK-M82B-48,Mountain-100 Black- 48,1898,Mountain,2011-07-01,,2025-11-17 10:54:42.81274
344,BI_MB,BK-M82S-38,Mountain-100 Silver- 38,1912,Mountain,2011-07-01,,2025-11-17 10:54:42.81274
345,BI_MB,BK-M82S-42,Mountain-100 Silver- 42,1912,Mountain,2011-07-01,,2025-11-17 10:54:42.81274
346,BI_MB,BK-M82S-44,Mountain-100 Silver- 44,1912,Mountain,2011-07-01,,2025-11-17 10:54:42.81274
347,BI_MB,BK-M82S-48,Mountain-100 Silver- 48,1912,Mountain,2011-07-01,,2025-11-17 10:54:42.81274
604,BI_RB,BK-R19B-44,Road-750 Black- 44,344,Road,2013-07-01,,2025-11-17 10:54:42.81274
605,BI_RB,BK-R19B-48,Road-750 Black- 48,344,Road,2013-07-01,,2025-11-17 10:54:42.81274
606,BI_RB,BK-R19B-52,Road-750 Black- 52,344,Road,2013-07-01,,2025-11-17 10:54:42.81274
584,BI_RB,BK-R19B-58,Road-750 Black- 58,344,Road,2013-07-01,,2025-11-17 10:54:42.81274
338,BI_RB,BK-R50B-44,Road-650 Black- 44,413,Road,2011-07-01,2012-06-30,2025-11-17 10:54:42.81274
339,BI_RB,BK-R50B-44,Road-650 Black- 44,487,Road,2012-07-01,,2025-11-17 10:54:42.81274
340,BI_RB,BK-R50B-48,Road-650 Black- 48,413,Road,2011-07-01,2012-06-30,2025-11-17 10:54:42.81274
341,BI_RB,BK-R50B-48,Road-650 Black- 48,487,Road,2012-07-01,,2025-11-17 10:54:42.81274
342,BI_RB,BK-R50B-52,Road-650 Black- 52,413,Road,2011-07-01,2012-06-30,2025-11-17 10:54:42.81274
343,BI_RB,BK-R50B-52,Road-650 Black- 52,487,Road,2012-07-01,,2025-11-17 10:54:42.81274
332,BI_RB,BK-R50B-58,Road-650 Black- 58,413,Road,2011-07-01,2012-06-30,2025-11-17 10:54:42.81274
333,BI_RB,BK-R50B-58,Road-650 Black- 58,487,Road,2012-07-01,,2025-11-17 10:54:42.81274
334,BI_RB,BK-R50B-60,Road-650 Black- 60,413,Road,2011-07-01,2012-06-30,2025-11-17 10:54:42.81274
335,BI_RB,BK-R50B-60,Road-650 Black- 60,487,Road,2012-07-01,,2025-11-17 10:54:42.81274
336,BI_RB,BK-R50B-62,Road-650 Black- 62,413,Road,2011-07-01,2012-06-30,2025-11-17 10:54:42.81274
337,BI_RB,BK-R50B-62,Road-650 Black- 62,487,Road,2012-07-01,,2025-11-17 10:54:42.81274
326,BI_RB,BK-R50R-44,Road-650 Red- 44,413,Road,2011-07-01,2012-06-30,2025-11-17 10:54:42.81274
327,BI_RB,BK-R50R-44,Road-650 Red- 44,487,Road,2012-07-01,,2025-11-17 10:54:42.81274
328,BI_RB,BK-R50R-48,Road-650 Red- 48,413,Road,2011-07-01,2012-06-30,2025-11-17 10:54:42.81274
329,BI_RB,BK-R50R-48,Road-650 Red- 48,487,Road,2012-07-01,,2025-11-17 10:54:42.81274
330,BI_RB,BK-R50R-52,Road-650 Red- 52,413,Road,2011-07-01,2012-06-30,2025-11-17 10:54:42.81274
331,BI_RB,BK-R50R-52,Road-650 Red- 52,487,Road,2012-07-01,,2025-11-17 10:54:42.81274
320,BI_RB,BK-R50R-58,Road-650 Red- 58,413,Road,2011-07-01,2012-06-30,2025-11-17 10:54:42.81274
321,BI_RB,BK-R50R-58,Road-650 Red- 58,487,Road,2012-07-01,,2025-11-17 10:54:42.81274
322,BI_RB,BK-R50R-60,Road-650 Red- 60,413,Road,2011-07-01,2012-06-30,2025-11-17 10:54:42.81274
323,BI_RB,BK-R50R-60,Road-650 Red- 60,487,Road,2012-07-01,,2025-11-17 10:54:42.81274
324,BI_RB,BK-R50R-62,Road-650 Red- 62,413,Road,2011-07-01,2012-06-30,2025-11-17 10:54:42.81274
325,BI_RB,BK-R50R-62,Road-650 Red- 62,487,Road,2012-07-01,,2025-11-17 10:54:42.81274
381,BI_RB,BK-R64Y-38,Road-550-W Yellow- 38,606,Road,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
382,BI_RB,BK-R64Y-38,Road-550-W Yellow- 38,713,Road,2013-07-01,,2025-11-17 10:54:42.81274
383,BI_RB,BK-R64Y-40,Road-550-W Yellow- 40,606,Road,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
384,BI_RB,BK-R64Y-40,Road-550-W Yellow- 40,713,Road,2013-07-01,,2025-11-17 10:54:42.81274
385,BI_RB,BK-R64Y-42,Road-550-W Yellow- 42,606,Road,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
386,BI_RB,BK-R64Y-42,Road-550-W Yellow- 42,713,Road,2013-07-01,,2025-11-17 10:54:42.81274
387,BI_RB,BK-R64Y-44,Road-550-W Yellow- 44,606,Road,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
388,BI_RB,BK-R64Y-44,Road-550-W Yellow- 44,713,Road,2013-07-01,,2025-11-17 10:54:42.81274
389,BI_RB,BK-R64Y-48,Road-550-W Yellow- 48,606,Road,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
390,BI_RB,BK-R64Y-48,Road-550-W Yellow- 48,713,Road,2013-07-01,,2025-11-17 10:54:42.81274
317,BI_RB,BK-R68R-44,Road-450 Red- 44,885,Road,2011-07-01,,2025-11-17 10:54:42.81274
318,BI_RB,BK-R68R-48,Road-450 Red- 48,885,Road,2011-07-01,,2025-11-17 10:54:42.81274
319,BI_RB,BK-R68R-52,Road-450 Red- 52,885,Road,2011-07-01,,2025-11-17 10:54:42.81274
315,BI_RB,BK-R68R-58,Road-450 Red- 58,885,Road,2011-07-01,,2025-11-17 10:54:42.81274
316,BI_RB,BK-R68R-60,Road-450 Red- 60,885,Road,2011-07-01,,2025-11-17 10:54:42.81274
580,BI_RB,BK-R79Y-40,Road-350-W Yellow- 40,1083,Road,2013-07-01,,2025-11-17 10:54:42.81274
581,BI_RB,BK-R79Y-42,Road-350-W Yellow- 42,1083,Road,2013-07-01,,2025-11-17 10:54:42.81274
582,BI_RB,BK-R79Y-44,Road-350-W Yellow- 44,1083,Road,2013-07-01,,2025-11-17 10:54:42.81274
583,BI_RB,BK-R79Y-48,Road-350-W Yellow- 48,1083,Road,2013-07-01,,2025-11-17 10:54:42.81274
373,BI_RB,BK-R89B-44,Road-250 Black- 44,1321,Road,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
374,BI_RB,BK-R89B-44,Road-250 Black- 44,1555,Road,2013-07-01,,2025-11-17 10:54:42.81274
375,BI_RB,BK-R89B-48,Road-250 Black- 48,1321,Road,2012-07-01,2013-06-30,2025-11-17 10:54:42.81274
376,BI_RB,BK-R89B-48,Road-250 Black- 48,1555,Road,2013-07-01,,2025-11-17 10:54:42.81274
